fy,full_sample,sel_index,typen,borrowers,undergrad_bor,grad_bor,both_grad_undergrad,parplus_bor,tot_bal,undergrad_loans,grad_loans,parplus_loans,mn_tot_bal,md_tot_bal,mn_undergrad_l,md_undergrad_l,mn_grad_loan,md_grad_loan,mn_parplus_loan,md_parplus_loan,pct75_tot_bal,pct75_undergrad_l,pct75_grad_l,pct90_tot_bal,pct90_undergrad_l,pct90_grad_l,mn_duration_borrowing,md_duration_borrowing,rep_tot,rep_ug,rep_gr,mn_rep_tot_bal,mn_rep_undergrad_l,mn_rep_grad_l,md_rep_tot_bal,md_rep_undergrad_l,md_rep_grad_l,rep_tot_bal,rep_undergrad_l,rep_grad_l,mn_fam_inc,dependent,female,first_gen,median_hh,pct_black,poverty_rate,unemp_rate,md_fam_inc,md_ind_fam_inc,md_dep_fam_inc,md_und_fam_inc,md_grad_fam_inc,md_par_fam_inc,cpi_adj
1973,,,3,25,24,1,0,0,32,31,1,0,1280,980,1270,935,1390,1335,,,1550,1485,1800,2575,2560,2225,4.94,0,6,6,0,1065,1055,1410,850,850,1020,5,5,0,,,,,,,,,,,,,,,0.24199
1974,,,3,31,30,1,0,0,42,40,2,0,1330,1115,1320,1090,1400,1210,,,1625,1585,1825,2560,2530,2670,4.73,0,11,11,0,1110,1100,1345,870,865,1010,10,10,0,,,,,,,,,,,,,,,0.269745
1975,,,3,40,39,1,0,0,55,53,2,0,1370,1195,1350,1170,1475,1335,,,1705,1625,1940,2620,2580,2670,4.92,0,15,15,1,1120,1105,1305,940,940,925,15,15,0,,,,,,,,,,,,,,,0.287627
1976,,,3,48,47,1,0,0,69,66,3,0,1420,1240,1405,1215,1555,1335,,,1780,1780,1850,2670,2670,2775,5.14,0,19,18,1,1185,1160,1500,1015,1000,1475,25,20,0,,,,,,,,,,,,,,,0.302189
1977,,,3,62,61,2,1,0,93,90,4,0,1500,1265,1480,1245,1550,1335,,,1780,1780,1885,2670,2670,2670,5.48,0,24,23,1,1220,1200,1445,1075,1055,1300,30,30,0,,,,,,,,,,,,,,,0.322139
1978,,,3,84,82,2,1,0,131,125,6,0,1565,1305,1535,1295,1790,1455,,,1905,1840,2200,2830,2685,3555,5.6,0,33,32,1,1270,1255,1420,1105,1085,1245,40,40,0,,,,,,,,,,,,,,,0.346492
1979,,,3,123,120,3,2,0,208,199,9,0,1690,1335,1655,1335,1975,1515,,,2225,2225,2225,3115,3095,4005,5.68,1,43,42,1,1350,1335,1525,1180,1155,1370,60,55,0,,,,,,,,,,,,,,,0.381639
1980,,,3,206,201,4,2,0,376,363,13,0,1830,1580,1805,1555,1985,1535,,,2225,2225,2225,3340,3325,4045,5.55,1,56,55,2,1430,1405,1725,1190,1170,1575,80,75,5,,,,,,,,,,,,,,,0.42186
1981,,,3,345,339,6,4,0,718,699,19,0,2080,2045,2060,2020,2070,1780,2500,2070,2390,2310,2500,4005,3920,3905,5.35,1,82,80,3,1575,1545,1860,1300,1290,1470,130,125,5,,,,,,,,,,,,,,,0.452594
1982,,,3,463,456,7,5,0,1034,1009,25,1,2235,2190,2210,2185,2165,1780,1790,1770,2630,2585,2500,4415,4360,4295,5.19,1,133,130,4,1765,1735,1985,1570,1560,1565,235,225,10,,,,,,,,,,,,,,,0.474364
1983,,,3,592,583,7,5,1,1382,1351,29,3,2335,2215,2315,2210,2260,1790,2420,2200,2670,2670,2500,4450,4450,4390,5.1,1,207,203,6,2005,1980,2060,1865,1860,1725,415,405,10,,,,,,,,,,,,,,,0.491878
