full_sample,sel_index,typen,fy,borrowers,mn_earnings,md_earnings,p25_earnings,p75_earnings,mn_tot_inc,md_tot_inc,unemployed,in_pov,near_pov,mn_debt_service,mn_grad2_earnings,mn_grad4_earnings,mn_grad0_earnings,md_debt_service,mn_tot_bal,md_tot_bal,mn_undergrad_l,md_undergrad,mn_grad_l,md_grad_l
,,4,2002,4062,48750,41750,24985,60617,64000,51250,0.098,0.124,0.182,3630,36500,49500,40750,2645,19695,11855,13785,9750,31745,18900
,,4,2003,4294,48500,41500,24563,60568,63500,50750,0.104,0.131,0.19,3600,36750,50000,41250,2585,20695,12365,14280,10140,33365,19845
,,4,2004,4561,48500,41250,24479,60632,63750,50750,0.104,0.131,0.192,3570,36750,50500,41750,2535,21470,12895,14620,10535,34490,20750
,,4,2005,4920,48250,41000,24182,60416,63750,50250,0.101,0.132,0.194,3560,37000,50750,42000,2505,22370,13540,14985,11050,35640,21735
,,4,2006,5295,49500,41750,24672,61563,65000,51000,0.1,0.131,0.193,3625,37750,52250,43000,2545,23375,14375,15480,11630,36650,22990
,,4,2007,5582,50250,42500,25183,62394,66500,52000,0.1,0.129,0.189,3700,38000,53500,43250,2600,23745,14655,15665,11820,36670,23365
,,4,2008,5919,52250,44000,26134,64992,68250,53750,0.104,0.127,0.184,3805,39250,56000,44750,2660,24750,15175,16180,12195,37995,24590
,,4,2009,6409,50500,42500,24191,63510,65750,51500,0.118,0.142,0.205,3895,37500,54250,42500,2685,25235,15295,16255,12155,38855,25205
,,4,2010,6903,50250,41750,23366,63081,65750,51000,0.121,0.141,0.208,4035,37000,53750,42000,2755,26105,15575,16600,12320,40295,25835
,,4,2011,7534,49750,41000,23073,62444,64750,49250,0.122,0.147,0.216,4190,36750,53500,41250,2835,26970,15880,17030,12495,41655,26490
,,4,2012,8284,49750,40500,22785,62096,64750,48500,0.12,0.15,0.221,4350,36750,53500,40750,2930,28080,16375,17645,12785,43535,27470
,,4,2013,9072,49250,40000,22510,61703,64250,47500,0.116,0.153,0.226,4510,37000,53500,39500,3025,29300,16950,18370,13185,45620,28545
,,4,2014,9922,49250,40000,22553,61666,62000,45750,0.122,0.165,0.237,4665,38000,54000,38500,3120,30685,17645,19255,13735,48075,29760
,,5,1999,136,32250,28000,15290,44273,39000,29000,0.187,0.302,0.403,2095,33000,34500,25500,1335,8465,5435,7900,5325,20290,9135
,,5,2000,131,33500,29000,15885,45354,40500,30250,0.184,0.301,0.397,2055,35250,37250,27000,1325,9090,5780,8415,5665,22970,9980
,,5,2001,126,35500,29750,15808,48480,42000,31250,0.2,0.296,0.394,2235,38250,43750,28500,1375,9945,6130,8970,6000,29260,12485
,,5,2002,124,35500,31000,15941,48693,41000,31750,0.22,0.309,0.396,2210,38000,42000,29000,1380,10485,6325,9435,6205,30025,13340
