fy,full_sample,sel_index,typen,borrowers,undergrad_bor,grad_bor,both_grad_undergrad,parplus_bor,tot_bal,undergrad_loans,grad_loans,parplus_loans,mn_tot_bal,md_tot_bal,mn_undergrad_l,md_undergrad_l,mn_grad_loan,md_grad_loan,mn_parplus_loan,md_parplus_loan,pct75_tot_bal,pct75_undergrad_l,pct75_grad_l,pct90_tot_bal,pct90_undergrad_l,pct90_grad_l,mn_duration_borrowing,md_duration_borrowing,rep_tot,rep_ug,rep_gr,mn_rep_tot_bal,mn_rep_undergrad_l,mn_rep_grad_l,md_rep_tot_bal,md_rep_undergrad_l,md_rep_grad_l,rep_tot_bal,rep_undergrad_l,rep_grad_l,mn_fam_inc,dependent,female,first_gen,median_hh,pct_black,poverty_rate,unemp_rate,md_fam_inc,md_ind_fam_inc,md_dep_fam_inc,md_und_fam_inc,md_grad_fam_inc,md_par_fam_inc,cpi_adj
2004,,4,,5844,5220,92,656,564,90377,62871,20070,7436,15465,9620,12045,8875,26820,17045,13195,7780,19305,16845,34485,34725,26175,61220,5.76,4,2626,2573,421,16830,12655,27655,10655,9315,16485,44195,32560,11635,59950,0.78,0.59,0.38,60276.8,0.12,0.08,0.03,50970,20065,62545,51010,46760,44905,0.834702
2005,,4,,6172,5496,87,743,626,100882,69370,23401,8111,16345,10205,12620,9280,28180,18190,12960,7715,20360,17420,36240,37045,27395,63965,5.71,4,2824,2774,481,18060,13355,29025,11525,10035,17620,51005,37045,13960,60745,0.78,0.59,0.38,60444.9,0.12,0.08,0.03,51555,20090,62990,51625,47850,45200,0.858669
2006,,4,,6460,5767,83,829,655,112892,76515,27025,9351,17475,10975,13270,10000,29650,19120,14275,8595,21665,18240,37960,39840,28870,66535,5.67,4,3039,2991,547,19330,14105,30245,12490,10805,18810,58740,42190,16550,61525,0.79,0.59,0.38,60626.5,0.12,0.08,0.03,52200,20130,63345,52260,48630,45200,0.876992
2007,,4,,6755,6036,86,919,682,126132,84003,31502,10626,18675,11670,13915,10565,31345,20465,15575,9330,22965,19015,40160,42670,30295,71035,5.63,4,3209,3163,600,20410,14780,31240,13245,11350,19720,65490,46735,18755,62320,0.8,0.59,0.38,60776.3,0.12,0.08,0.03,52875,20115,63790,52945,49605,44085,0.906824
2008,,4,,7085,6333,96,1007,710,140947,92337,36755,11853,19895,12405,14580,11060,33300,21795,16685,9945,24170,19680,42425,45360,31500,75515,5.58,4,3414,3362,663,21405,15325,32495,13770,11775,20905,73075,51520,21550,63085,0.8,0.59,0.38,60957.7,0.12,0.08,0.03,53415,20165,64085,53475,50265,43780,0.910217
2009,,4,,7533,6724,111,1110,761,159307,103194,42944,13150,21145,13335,15345,11920,35175,22920,17280,10085,25430,20495,44815,47870,32870,80470,5.5,4,3705,3644,746,22300,15720,33965,14160,12005,21985,82625,57275,25350,63980,0.81,0.59,0.37,61157.5,0.12,0.08,0.03,53870,20165,64450,53930,50955,42620,0.929017
2010,,4,,8004,7126,126,1215,824,179597,114989,49831,14732,22440,14170,16135,12560,37155,24175,17875,10405,26935,21715,47355,50735,34415,85445,5.41,4,4002,3929,835,23435,16280,35705,14620,12325,23000,93770,63955,29815,64460,0.81,0.59,0.37,61316.4,0.12,0.08,0.03,53930,20005,64480,54015,51655,40745,0.941916
2011,,4,,8483,7529,141,1316,896,202915,128336,57600,16908,23920,15010,17045,13145,39550,25720,18860,10980,28855,23330,50300,53815,36500,91460,5.29,3,4377,4292,937,24865,17105,37830,15310,12800,24185,108845,73415,35435,64540,0.81,0.59,0.37,61450.5,0.12,0.08,0.03,53595,19740,64095,53710,51990,37990,0.965479
2012,,4,,8865,7879,151,1400,924,226047,141326,65647,18991,25500,15790,17940,13760,42305,27505,20555,11990,30940,24700,53705,57330,38595,99050,5.16,3,4824,4726,1049,26395,17970,40405,16095,13285,25835,127320,84930,42395,64560,0.81,0.59,0.37,61567.1,0.12,0.08,0.03,53230,19480,63700,53345,52385,37155,0.980216
2013,,4,,9170,8165,162,1477,938,248005,153609,73401,20912,27045,16430,18815,14420,44800,28865,22300,12685,32745,26100,56845,60925,40635,105575,5.02,3,5285,5174,1164,28035,18965,42980,17005,13915,27370,148150,98140,50010,64570,0.82,0.59,0.37,61669.9,0.12,0.08,0.03,52920,19310,63270,53020,52385,36305,0.992323
