fy,full_sample,sel_index,typen,new_borrowers,new_undergrad_bor,new_grad_bor,new_parplus_bor,tot_vol,undergrad_loans,grad_loans,parplus_loans,mn_tot_vol,md_tot_vol,mn_undergrad_l,md_undergrad_l,mn_grad_loan,md_grad_loan,mn_parplus_loan,md_parplus_loan,mn_duration_borrowing,md_duration_borrowing,cpi_adj,age,mn_fam_inc,dependent,female,first_gen,median_hh_inc,pct_black,poverty_rate,unemp_rate,md_fam_inc,md_ind_fam_inc,md_dep_fam_inc,md_und_fam_inc,md_grad_fam_inc,md_par_fam_inc
1979,,,5,11,10,0,0,23,21,1,0,2125,2210,2050,2120,3705,2600,,,5.32,1,0.381639,,,,,,,,,,,,,,,
1980,,,5,17,16,1,0,36,34,2,0,2110,2225,2050,2225,3290,3560,,,5.18,1,0.42186,,,,,,,,,,,,,,,
1981,,,5,24,23,1,0,53,51,2,0,2250,2225,2215,2225,3540,2885,2400,2640,4.91,0,0.452594,,,,,,,,,,,,,,,
1982,,,5,20,19,0,0,44,43,1,0,2265,2225,2240,2225,3570,4450,2190,2640,5.22,1,0.474364,,,,,,,,,,,,,,,
1983,,,5,19,18,1,0,42,39,2,1,2265,2225,2225,2225,3175,2315,2770,2640,4.95,1,0.491878,,,,,,,,,,,,,,,
1984,,,5,19,18,0,0,41,40,1,1,2220,2225,2205,2225,2955,2670,2370,2640,4.46,1,0.509814,,,,,,,,,,,,,,,
1985,,,5,23,23,0,1,52,49,1,1,2210,2225,2190,2225,3815,2895,2255,2200,4.76,0,0.528431,,,,,,,,,,,,,,,
1986,,,5,20,19,0,1,44,41,1,2,2155,2225,2140,2225,4025,4450,2275,2640,4.32,0,0.536539,,,,,,,,,,,,,,,
1987,,,5,19,18,0,1,43,41,0,2,2255,2225,2240,2225,3775,4450,2335,2510,4.62,0,0.556903,,,,,,,,,,,,,,,
1988,,,5,23,21,0,1,64,59,1,4,2825,2335,2780,2335,5515,6290,2960,3520,4.12,0,0.580705,,,,,,,,,,,,,,,
1989,,,5,23,22,0,1,71,67,1,3,3055,2335,3040,2335,4485,5855,2825,2640,4.24,0,0.60299,,,,,,,,,,,,,,,
1990,,,5,21,19,0,1,61,56,1,4,2975,2625,2930,2625,5485,7500,3035,3520,3.86,1,0.631967,,,,,,,,,,,,,,,
1991,,,5,22,20,0,1,67,62,1,4,3065,2625,3050,2625,6505,6700,2825,3430,3.93,0,0.648323,,,,,,,,,,,,,,,
1992,,,5,21,20,0,1,69,63,1,4,3225,2625,3200,2625,8720,7500,3140,3520,3.9,1,0.665147,,,,,,,,,,,,,,,
1993,,,5,20,19,0,1,67,61,1,5,3360,2625,3300,2625,7990,5730,3885,4000,3.82,1,0.679709,,,,,,,,,,,,,,,
1994,,,5,19,17,0,1,66,60,2,5,3565,2625,3460,2625,11695,8500,3915,3500,4.12,1,0.694281,,,,,,,,,,,,,,,
1995,,,5,15,14,0,1,59,53,2,3,3935,2625,3795,2625,19370,18500,3960,3290,3.7,1,0.707602,,31345,0.42,0.64,0.51,58288.9,0.15,0.1,0.04,22195,17220,33715,22465,35045,11665
1996,,,5,16,14,0,1,63,56,2,6,4055,3385,3880,3310,16625,11000,4815,3910,3.63,1,0.724261,,31755,0.4,0.67,0.51,60449.9,0.2,0.1,0.04,20180,11835,41050,20120,29300,46495
1997,,,5,12,11,0,1,50,44,0,6,4165,3150,4055,2775,4540,5000,5080,4645,3.59,1,0.732323,,37930,0.44,0.63,0.48,55483,0.21,0.12,0.04,23940,13880,40630,24070,,11080
1998,,,5,11,10,0,1,48,42,0,6,4290,3200,4180,2975,17000,17000,4975,4515,3.28,1,0.738253,,36610,0.48,0.6,0.53,59294.1,0.08,0.09,0.04,25975,18725,44820,25975,,
1999,,,5,9,8,0,1,37,32,0,5,4155,2770,4015,2625,18500,18500,4795,4000,3.57,1,0.753413,21,45345,0.56,0.57,0.48,57138.8,0.15,0.1,0.04,30060,21695,41150,30060,12005,
2000,,,5,10,9,0,1,46,40,0,5,4360,3500,4240,3240,18500,18500,5110,4285,3.39,1,0.77168,22,40645,0.51,0.58,0.52,54760.2,0.15,0.11,0.04,29285,18700,46980,29255,28035,53525
2001,,,5,10,9,0,1,45,37,0,7,4415,3315,4190,2805,3310,3310,6110,4950,3.62,1,0.779909,23,36005,0.47,0.61,0.52,53168.3,0.18,0.11,0.04,26495,19110,47390,26460,80645,94310
2002,,,5,11,10,0,1,50,42,0,8,4710,3500,4310,3315,4000,4000,8425,6430,2.69,1,0.796383,23,43170,0.5,0.59,0.55,53827.1,0.17,0.11,0.04,29735,19670,47405,29805,39650,9365
2003,,,5,11,10,0,1,52,44,0,8,4690,3730,4410,3500,2415,2415,7155,5000,2.75,1,0.811654,24,40400,0.45,0.6,0.53,54684,0.16,0.11,0.04,25660,17600,51305,25520,38340,50480
2004,,,5,12,11,0,1,55,47,0,8,4565,3720,4310,3500,,,7240,5105,2.43,1,0.834702,23,39615,0.5,0.61,0.56,55499.3,0.16,0.11,0.04,25555,14265,49455,25360,,90455
2005,,,5,12,11,0,1,58,51,0,7,4765,4245,4510,4060,12000,12000,7500,5640,2.23,1,0.858669,24,39695,0.47,0.61,0.55,53293.1,0.19,0.12,0.04,23990,14325,46515,23940,,48495
2006,,,5,12,10,0,1,59,47,0,12,5065,4000,4495,3915,1315,1315,10025,8140,2.14,1,0.876992,23,34620,0.48,0.61,0.5,53172.3,0.19,0.12,0.04,22835,12070,46450,22835,75900,20990
2007,,,5,14,13,0,1,71,64,0,7,5235,4635,5045,4500,,,7900,8000,1.5,0,0.906824,24,32815,0.46,0.61,0.59,51619.6,0.18,0.13,0.05,20705,12725,33700,20540,,40090
2008,,,5,14,13,0,1,86,76,1,10,6240,5500,5940,5500,20500,20500,9790,7175,1.46,0,0.910217,24,32670,0.44,0.56,0.53,52793.2,0.21,0.13,0.05,20790,10225,33990,20740,40390,22020
2009,,,5,17,16,0,1,118,106,0,12,7070,6045,6860,5970,,,9835,8640,1.21,0,0.929017,24,32770,0.46,0.57,0.57,54084,0.22,0.13,0.04,18975,10780,35665,18880,,29690
2010,,,5,17,15,0,1,110,99,1,10,6595,5500,6500,5500,8835,9500,7575,4695,0.94,0,0.941916,24,33465,0.44,0.56,0.58,53638.9,0.21,0.12,0.04,20315,10175,32675,20330,1140,26310
2011,,,5,17,15,0,1,121,109,0,12,7210,6000,7025,5815,3500,3500,9190,6540,0.85,0,0.965479,24,33975,0.46,0.55,0.56,55376.3,0.21,0.12,0.04,20150,11055,39590,20090,0,21495
2012,,,5,15,14,0,1,99,93,1,5,6755,5720,6720,5765,20500,20500,6985,5500,0.59,0,0.980216,24,33155,0.5,0.59,0.51,53733.5,0.19,0.13,0.05,19620,10005,36260,19615,48000,13665
2013,,,5,13,12,0,1,97,86,1,11,7295,6500,6950,6335,20500,20500,11575,8040,0.34,0,0.992323,23,33565,0.56,0.52,0.47,53991.3,0.19,0.13,0.04,20530,9760,32625,20420,65390,62650
